Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 6,532111,,Data Entry Operator,Customer relationship management CRM software,Emerging,31015
ANZSCO 6,532111,,Data Entry Operator,Business intelligence and decision support software,,31010
ANZSCO 6,532111,,Data Entry Operator,Accounting software,,31001
ANZSCO 6,532111,,Data Entry Operator,Patient management systems and electronic health records,,31052
ANZSCO 6,532113,,Word Processing Operator,Project management software,,31056
ANZSCO 6,532113,,Word Processing Operator,Business intelligence and decision support software,,31010
ANZSCO 6,532113,,Word Processing Operator,Graphics or photo imaging software,,31033
ANZSCO 6,532113,,Word Processing Operator,Accounting software,,31001
ANZSCO 6,532113,,Word Processing Operator,Customer relationship management CRM software,,31015
ANZSCO 6,541111,,Call or Contact Centre Team Leader,Customer relationship management CRM software,,31015
ANZSCO 6,541111,,Call or Contact Centre Team Leader,Business intelligence and decision support software,,31010
ANZSCO 6,541111,,Call or Contact Centre Team Leader,Enterprise resource planning ERP software,,31025
ANZSCO 6,541111,,Call or Contact Centre Team Leader,Financial analysis software,,31029
ANZSCO 6,541111,,Call or Contact Centre Team Leader,Project management software,,31056
ANZSCO 6,541112,,Call or Contact Centre Operator,Enterprise resource planning ERP software,,31025
ANZSCO 6,541112,,Call or Contact Centre Operator,Customer relationship management CRM software,Trending,31015
ANZSCO 6,541112,,Call or Contact Centre Operator,Social media platforms,,31063
ANZSCO 6,541112,,Call or Contact Centre Operator,Video creation and editing software,,31068
ANZSCO 6,541112,,Call or Contact Centre Operator,Business intelligence and decision support software,,31010
ANZSCO 6,541211,,Information Officer,Audio/video conferencing software,,31005
ANZSCO 6,541211,,Information Officer,Customer relationship management CRM software,,31015
ANZSCO 6,541211,,Information Officer,Accounting software,,31001
ANZSCO 6,541211,,Information Officer,Business intelligence and decision support software,,31010
ANZSCO 6,542111,,Receptionist (General),Audio/video conferencing software,,31005
ANZSCO 6,542111,,Receptionist (General),Customer relationship management CRM software,,31015
ANZSCO 6,542111,,Receptionist (General),Accounting software,,31001
ANZSCO 6,542111,,Receptionist (General),Business intelligence and decision support software,,31010
ANZSCO 6,542111,,Receptionist (General),Social media platforms,Trending,31063
ANZSCO 6,542112,,Admissions Clerk,Patient management systems and electronic health records,,31052
ANZSCO 6,542112,,Admissions Clerk,Accounting software,,31001
ANZSCO 6,542112,,Admissions Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,542112,,Admissions Clerk,Graphics or photo imaging software,,31033
ANZSCO 6,542113,,Hotel or Motel Receptionist,Business intelligence and decision support software,,31010
ANZSCO 6,542113,,Hotel or Motel Receptionist,Bookings and reservations software,,31009
ANZSCO 6,542113,,Hotel or Motel Receptionist,Hotel and property management systems,Emerging,31034
ANZSCO 6,542113,,Hotel or Motel Receptionist,Premise automated branch exchange (PABX) systems,,31055
ANZSCO 6,542114,,Medical Receptionist,Business intelligence and decision support software,,31010
ANZSCO 6,542114,,Medical Receptionist,Patient management systems and electronic health records,,31052
ANZSCO 6,542114,,Medical Receptionist,Graphics or photo imaging software,,31033
ANZSCO 6,542114,,Medical Receptionist,Accounting software,,31001
ANZSCO 6,551111,,Accounts Clerk,Enterprise resource planning ERP software,,31025
ANZSCO 6,551111,,Accounts Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,551111,,Accounts Clerk,Accounting software,,31001
ANZSCO 6,551111,,Accounts Clerk,Financial analysis software,,31029
ANZSCO 6,551112,,Cost Clerk,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,551112,,Cost Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,551112,,Cost Clerk,Financial analysis software,,31029
ANZSCO 6,551112,,Cost Clerk,Accounting software,,31001
ANZSCO 6,551112,,Cost Clerk,Customer relationship management CRM software,,31015
ANZSCO 6,551112,,Cost Clerk,Patient management systems and electronic health records,,31052
ANZSCO 6,551112,,Cost Clerk,Project management software,Trending,31056
ANZSCO 6,551211,,Bookkeeper,Accounting software,,31001
ANZSCO 6,551211,,Bookkeeper,Enterprise resource planning ERP software,,31025
ANZSCO 6,551211,,Bookkeeper,Business intelligence and decision support software,,31010
ANZSCO 6,551211,,Bookkeeper,Financial analysis software,,31029
ANZSCO 6,551311,,Payroll Clerk,Enterprise resource planning ERP software,,31025
ANZSCO 6,551311,,Payroll Clerk,Payroll and time accounting software,,31053
ANZSCO 6,551311,,Payroll Clerk,Accounting software,,31001
ANZSCO 6,551311,,Payroll Clerk,Financial analysis software,,31029
ANZSCO 6,551311,,Payroll Clerk,Human resources software,,31035
ANZSCO 6,552111,,Bank Worker,Enterprise resource planning ERP software,,31025
ANZSCO 6,552211,,Credit or Loans Officer,Customer relationship management CRM software,,31015
ANZSCO 6,552211,,Credit or Loans Officer,Accounting software,,31001
ANZSCO 6,552211,,Credit or Loans Officer,Financial analysis software,,31029
ANZSCO 6,552211,,Credit or Loans Officer,Financial and commodities services software,,31030
ANZSCO 6,552211,,Credit or Loans Officer,Statistical and data analysis software,,31066
ANZSCO 6,552312,,Insurance Consultant,Financial and commodities services software,,31030
ANZSCO 6,552312,,Insurance Consultant,Patient management systems and electronic health records,,31052
ANZSCO 6,552314,,Statistical Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,552314,,Statistical Clerk,Database management software,,31017
ANZSCO 6,552314,,Statistical Clerk,File storage technologies,,31028
ANZSCO 6,552314,,Statistical Clerk,Software development and programming languages,,31064
ANZSCO 6,552314,,Statistical Clerk,Statistical and data analysis software,,31066
ANZSCO 6,561211,,Courier,GPS and navigation technologies,,31032
ANZSCO 6,561211,,Courier,Radio frequency transmitters or receivers,,31059
ANZSCO 6,561311,,Filing or Registry Clerk,Business intelligence and decision support software,,31010
