Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
Specialisation,261316,S02,Continuous Integration Engineer,"Facilitate and undertake tasks associated with setting up a developmet environment for developers, including communication, collaboration, integration and automation. The specialisation of 'Continuous Integration Engineer' is a subset of the broader occupation of 'DevOps Engineer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Continuous Integration Engineer' profile should be combined with the broader 'DevOps Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,263211,S01,Systems Auditor (ICT),"Systems Auditors (ICT) are involved in the reviewing of control systems to assess their efficiency and reliability. They audit systems to ensure compliance with, and adherence to, accredited internal and external industry quality standards and regulations. Systems Auditors (ICT) provide managers with expert opinions about the reliability of results and operations of computer systems.  The specialisation of 'Systems Auditor (ICT)' is a subset of the broader occupation of 'ICT Quality Assurance Engineer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Systems Auditor (ICT)' profile should be combined with the broader 'ICT Quality Assurance Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,322211,S01,Metal Spinner,Forms axially symmetrical figures from a flat or preformed metal sheet. The specialisation of 'Metal Spinner' is a subset of the broader occupation of 'Sheetmetal Trades Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Metal Spinner' profile should be combined with the broader 'Sheetmetal Trades Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,322211,S02,Sheetmetal Patternmaker,"Designs, constructs and machines full size models out of sheetmetal. The specialisation of 'Sheetmetal Patternmaker' is a subset of the broader occupation of 'Sheetmetal Trades Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Sheetmetal Patternmaker' profile should be combined with the broader 'Sheetmetal Trades Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,323315,S01,Saw Sharpener,"Sharpens blades for circular, band and other saws. The specialisation of 'Saw Sharpener' is a subset of the broader occupation of 'Saw Doctor'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Saw Sharpener' profile should be combined with the broader 'Saw Doctor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,332111,S01,Parquetry Layer,"Measures, cuts, installs and repairs parquetry. The specialisation of 'Parquetry Layer' is a subset of the broader occupation of 'Floor Finisher'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Parquetry Layer' profile should be combined with the broader 'Floor Finisher' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,332211,S01,Paperhanger,"Covers interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. The specialisation of 'Paperhanger' is a subset of the broader occupation of 'Painting Trades Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Paperhanger' profile should be combined with the broader 'Painting Trades Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,333111,S01,Glass Embosser,Creates raised relief images and designs on glass. The specialisation of 'Glass Embosser' is a subset of the broader occupation of 'Glazier'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Glass Embosser' profile should be combined with the broader 'Glazier' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,333111,S02,Glass Etcher,"Inscribes letters, figures and designs on glass. The specialisation of 'Glass Etcher' is a subset of the broader occupation of 'Glazier'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Glass Etcher' profile should be combined with the broader 'Glazier' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,341111,S01,Armature Winder,"Repairs, reconditions, or constructs wire armature coils for transformers, electric motors and generators. The specialisation of 'Armature Winder' is a subset of the broader occupation of 'Electrician (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Armature Winder' profile should be combined with the broader 'Electrician (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,341111,S02,Railway Signal Electrician,"Assembles, installs, tests and maintains railway signals and peripheral equipment. The specialisation of 'Railway Signal Electrician' is a subset of the broader occupation of 'Electrician (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Railway Signal Electrician' profile should be combined with the broader 'Electrician (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,341111,S03,Solar Installer,"Assembles, installs, or maintains solar photovoltaic systems on roofs or other structures in compliance with site assessments and schematics. The specialisation of 'Solar Installer' is a subset of the broader occupation of 'Electrician (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Solar Installer' profile should be combined with the broader 'Electrician (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,391111,S01,Barber,"Provides barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves. The specialisation of 'Barber' is a subset of the broader occupation of 'Hairdresser'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Barber' profile should be combined with the broader 'Hairdresser' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,392211,S01,Desktop Publishing Operator,Formats typescript and graphic elements using computer software to produce publication-ready material. The specialisation of 'Desktop Publishing Operator' is a subset of the broader occupation of 'Graphic Pre-press Trades Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Desktop Publishing Operator' profile should be combined with the broader 'Graphic Pre-press Trades Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,393311,S01,Furniture Upholsterer,"Shapes, finishes, and refinishes damaged, worn, or used upholstered furniture or new high-grade upholstered furniture to specified color or finish. The specialisation of 'Furniture Upholsterer' is a subset of the broader occupation of 'Upholsterer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Furniture Upholsterer' profile should be combined with the broader 'Upholsterer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,399213,S01,Wind Turbine Technician,"Inspects, diagnoses, adjusts, or repairs wind turbines by resolving electrical, mechanical, and hydraulic malfunctions; may be required to perform some physically demanding tasks such as heavy lifting and climbing to extreme heights. The specialisation of 'Wind Turbine Technician' is a subset of the broader occupation of 'Power Generation Plant Operator'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Wind Turbine Technician' profile should be combined with the broader 'Power Generation Plant Operator' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,399911,S01,Abalone Diver,"Commercially harvests abalone from underwater reefs, typically using surface-supplied air or scuba. The specialisation of 'Abalone Diver' is a subset of the broader occupation of 'Diver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Abalone Diver' profile should be combined with the broader 'Diver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,399911,S02,Fisheries Diver,Supports the production of farmed marine species in and around sea farms and wild catch operations. The specialisation of 'Fisheries Diver' is a subset of the broader occupation of 'Diver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Fisheries Diver' profile should be combined with the broader 'Diver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,399911,S03,Pearl Diver,Commercially harvests oysters that grow pearls from underwater farms. The specialisation of 'Pearl Diver' is a subset of the broader occupation of 'Diver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Pearl Diver' profile should be combined with the broader 'Diver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,399911,S04,Hyperbaric Welder Diver,"Undertakes welding tasks at elevated pressures, typically underwater. The specialisation of 'Hyperbaric Welder Diver' is a subset of the broader occupation of 'Diver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Hyperbaric Welder Diver' profile should be combined with the broader 'Diver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,411311,S01,Activities Officer,"Coordinates and implements recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals. The specialisation of 'Activities Officer' is a subset of the broader occupation of 'Diversional Therapist'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Activities Officer' profile should be combined with the broader 'Diversional Therapist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,411711,S01,Community Development Officer,Works with community groups to deliver a range of projects and initiatives. The specialisation of 'Community Development Officer' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Community Development Officer' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,411711,S02,Community Support Worker,"Provides social, physical, and emotional support to clients. The specialisation of 'Community Support Worker' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Community Support Worker' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,411711,S03,Housing Officer,Facilitates community housing initiatives and programs. The specialisation of 'Housing Officer' is a subset of the broader occupation of 'Community Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Housing Officer' profile should be combined with the broader 'Community Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,423313,S01,Health Care Assistant,"Assists patients with daily activities, monitors health of patients and assists nursing staff when necessary. The specialisation of 'Health Care Assistant' is a subset of the broader occupation of 'Personal Care Assistant'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Health Care Assistant' profile should be combined with the broader 'Personal Care Assistant' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,423314,S01,Diversional Therapist's Assistant,"Supports Diversional Therapists to plan, design, coordinate and implement recreation and leisure-based activity programs. The specialisation of 'Diversional Therapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Diversional Therapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,423314,S02,Occupational Therapist's Assistant,Supports Occupational Therapists to assess functional limitations of people resulting from illnesses and disabilities. The specialisation of 'Occupational Therapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Occupational Therapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,423314,S03,Physiotherapist's Assistant,"Supports Physiotherapists to assess, treat and prevens disorders in human movement caused by injury or disease. The specialisation of 'Physiotherapist's Assistant' is a subset of the broader occupation of 'Therapy Aide'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Physiotherapist's Assistant' profile should be combined with the broader 'Therapy Aide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,431211,S01,Canteen Attendant,Prepares meals and serves the patrons of the canteen. The specialisation of 'Canteen Attendant' is a subset of the broader occupation of 'Cafe Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Canteen Attendant' profile should be combined with the broader 'Cafe Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,431311,S01,Casino Gaming Inspector,Inspects and monitors licensed gambling premises to ensure compliance with regulations. The specialisation of 'Casino Gaming Inspector' is a subset of the broader occupation of 'Gaming Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Casino Gaming Inspector' profile should be combined with the broader 'Gaming Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,431311,S02,Gaming Pit Boss,"Directs, supervises and monitors employees in a casino pit. The specialisation of 'Gaming Pit Boss' is a subset of the broader occupation of 'Gaming Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Gaming Pit Boss' profile should be combined with the broader 'Gaming Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,431411,S01,Front Office Manager (Hotel),Supervises and coordinates work activities of staff who provide services to guests at hotel front desks. The specialisation of 'Front Office Manager (Hotel)' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Front Office Manager (Hotel)' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,431411,S02,Head Housekeeper,Supervises and coordinates work activities of cleaning staff in hotels. The specialisation of 'Head Housekeeper' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Head Housekeeper' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,431411,S03,Head Porter (Hotel),Supervises and coordinates work activities of staff who handle baggage for guests at hotels or similar establishments. The specialisation of 'Head Porter (Hotel)' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Head Porter (Hotel)' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,431411,S04,Hotel Concierge,Assists patrons at hotels with personal services. The specialisation of 'Hotel Concierge' is a subset of the broader occupation of 'Hotel Service Manager'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Hotel Concierge' profile should be combined with the broader 'Hotel Service Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,452214,S01,Climbing Guide,"Plans, organises and provides guided rope or rock climbing trips for individuals or groups. The specialisation of 'Climbing Guide' is a subset of the broader occupation of 'Mountain or Glacier Guide'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Climbing Guide' profile should be combined with the broader 'Mountain or Glacier Guide' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,452215,S01,Hang-gliding Instructor,Conducts tandem hang-gliding activities and teaches the theory and practical skills of hang-gliding. The specialisation of 'Hang-gliding Instructor' is a subset of the broader occupation of 'Outdoor Adventure Instructor'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Hang-gliding Instructor' profile should be combined with the broader 'Outdoor Adventure Instructor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,452215,S02,Paragliding Instructor,Conducts tandem paragliding activities and teaches the theory and practical skills of paragliding. The specialisation of 'Paragliding Instructor' is a subset of the broader occupation of 'Outdoor Adventure Instructor'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Paragliding Instructor' profile should be combined with the broader 'Outdoor Adventure Instructor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,561311,S01,Medical Record Clerk,"Compiles, processes, and maintains medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the health care system. The specialisation of 'Medical Record Clerk' is a subset of the broader occupation of 'Filing or Registry Clerk'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Medical Record Clerk' profile should be combined with the broader 'Filing or Registry Clerk' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,561511,S01,Market Research Interviewer,"Conducts interviews to collect information on the opinions and preferences of consumers, businesses, the electorate and other selected groups. The specialisation of 'Market Research Interviewer' is a subset of the broader occupation of 'Survey Interviewer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Market Research Interviewer' profile should be combined with the broader 'Survey Interviewer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,611211,S01,Insurance Underwriter,Reviews individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications. The specialisation of 'Insurance Underwriter' is a subset of the broader occupation of 'Insurance Agent'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Insurance Underwriter' profile should be combined with the broader 'Insurance Agent' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,621111,S01,Clothing Sales Assistant,"Sells goods and services, such as clothing and accessories. The specialisation of 'Clothing Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Clothing Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,621111,S02,Cosmetic Sales Assistant,"Sells goods and services, such as cosmetics. The specialisation of 'Cosmetic Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Cosmetic Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,621111,S03,Fast Food Sales Assistant,"Sells goods and services, such as food. The specialisation of 'Fast Food Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Fast Food Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,621111,S04,Hardware Sales Assistant,"Sells goods and services, such as hardware. The specialisation of 'Hardware Sales Assistant' is a subset of the broader occupation of 'Sales Assistant (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Hardware Sales Assistant' profile should be combined with the broader 'Sales Assistant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,711111,S01,Slip Caster,"Performs routine tasks in the manufacture of ceramic products, by assembling moulds, shaping and firing clay. The specialisation of 'Slip Caster' is a subset of the broader occupation of 'Clay Products Machine Operator'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Slip Caster' profile should be combined with the broader 'Clay Products Machine Operator' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,711112,S01,Concrete Precast Moulder,Operates concrete mixing machines to manufacture precast moulded and hand-casted concrete products such as building components and hardscaping elements The specialisation of 'Concrete Precast Moulder' is a subset of the broader occupation of 'Concrete Products Machine Operator'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Concrete Precast Moulder' profile should be combined with the broader 'Concrete Products Machine Operator' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,711514,S01,Blow Moulding Machine Operator,"Operates and monitors blow moulding machine to mould plastic goods, according to requirements. The specialisation of 'Blow Moulding Machine Operator' is a subset of the broader occupation of 'Plastics Production Machine Operator (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Blow Moulding Machine Operator' profile should be combined with the broader 'Plastics Production Machine Operator (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,711514,S02,Extruding Machine Operator (Plastics),"Oversees the production of rods, hoses, and other tubular shapes out of thermoplastic materials for manufacturing or construction. The specialisation of 'Extruding Machine Operator (Plastics)' is a subset of the broader occupation of 'Plastics Production Machine Operator (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Extruding Machine Operator (Plastics)' profile should be combined with the broader 'Plastics Production Machine Operator (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,711514,S03,Lamination Machine Operator,"Operates lamination machines to cover, strengthen, and protect paper items. The specialisation of 'Lamination Machine Operator' is a subset of the broader occupation of 'Plastics Production Machine Operator (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Lamination Machine Operator' profile should be combined with the broader 'Plastics Production Machine Operator (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,711515,S01,Fibreglass Laminator,Laminate layers of fiberglass on moulds. The specialisation of 'Fibreglass Laminator' is a subset of the broader occupation of 'Reinforced Plastic and Composite Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Fibreglass Laminator' profile should be combined with the broader 'Reinforced Plastic and Composite Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,712311,S01,Brake Press Operator,"Manufactures tools, metal, and other pieces of equipment using a brake press. The specialisation of 'Brake Press Operator' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Brake Press Operator' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,712311,S02,Computer Numeric Control Machine Operator,"Calibrates, tests and maintains equipment and run programs that turn raw materials into finished products and parts. The specialisation of 'Computer Numeric Control Machine Operator' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Computer Numeric Control Machine Operator' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,712311,S03,Furnace Operator (Metals),"Montiors stores of scrap, hot metal, and additives used in furnaces to ensure proper ratio of raw materials is maintained, and for adjusts furnace temperatures. The specialisation of 'Furnace Operator (Metals)' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Furnace Operator (Metals)' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,712311,S04,Kiln Operator (Metals),Operates industrial kilns that are used to heat and mix metals. The specialisation of 'Kiln Operator (Metals)' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Kiln Operator (Metals)' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,712311,S05,Sheetmetal Worker (Second Class),"Assists in the marking out, shaping, forming and joining of sheetmetal and other materials to make products and components. The specialisation of 'Sheetmetal Worker (Second Class)' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Sheetmetal Worker (Second Class)' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,712311,S06,Tool Setter,Works to set and adjust Computer Numeric Control (CNC) Machine tools to ensure accruacy and precision. The specialisation of 'Tool Setter' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Tool Setter' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,712311,S07,Turret Punch Operator,"Operates a turret punch press machine to punch holes or layout marks in metal sheets, strips, or bars. The specialisation of 'Turret Punch Operator' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Turret Punch Operator' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,712311,S08,Arc Welder,Fabricates and repairs metal products using arc welding techniques. The specialisation of 'Arc Welder' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Arc Welder' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,712311,S09,Foundry Operator,Performs a combination of tasks related to melting metals and pouring them into moulds. The specialisation of 'Foundry Operator' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Foundry Operator' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,712311,S10,Metal Rolling Mill Operator,"Operates equipment to form metal or other materials into a plate, sheet, flatware, rod, or other specific manufacturing shape using techniques, such as hot or cold rolled steel. The specialisation of 'Metal Rolling Mill Operator' is a subset of the broader occupation of 'Engineering Production Worker'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Metal Rolling Mill Operator' profile should be combined with the broader 'Engineering Production Worker' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,733111,S01,Cement Mixer Driver,"Drives a specialised truck, requiring a specially endorsed class license, to transport cement and pour cement from the mixer. The specialisation of 'Cement Mixer Driver' is a subset of the broader occupation of 'Truck Driver (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Cement Mixer Driver' profile should be combined with the broader 'Truck Driver (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,733111,S02,Livestock Haulier,"Drives a heavy truck, requiring a specially endorsed class of license, to transport livestock between farms and abattoirs or ports for export. The specialisation of 'Livestock Haulier' is a subset of the broader occupation of 'Truck Driver (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Livestock Haulier' profile should be combined with the broader 'Truck Driver (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,733111,S03,Logging Truck Driver,"Drives a heavy truck, requiring a specially endorsed class of licence, to transport logs, facilitate log loading and unloading, and deliver logs to their destination. The specialisation of 'Logging Truck Driver' is a subset of the broader occupation of 'Truck Driver (General)'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Logging Truck Driver' profile should be combined with the broader 'Truck Driver (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,733114,S01,Milk Tanker Driver,"Drives a insulated tanker truck, requiring a specially endorsed class of licence, to transport large amounts of milk. The specialisation of 'Milk Tanker Driver' is a subset of the broader occupation of 'Tanker Driver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Milk Tanker Driver' profile should be combined with the broader 'Tanker Driver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,733114,S02,Petrol Tanker Driver,Drives and operates a tanker truck that is used to transport various types of petrol. The specialisation of 'Petrol Tanker Driver' is a subset of the broader occupation of 'Tanker Driver'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Petrol Tanker Driver' profile should be combined with the broader 'Tanker Driver' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,741111,S01,Order Picker/Assembler,"Receives, stores, and issues goods from stockroom, warehouse, or storage yard to customers' orders. The specialisation of 'Order Picker/Assembler' is a subset of the broader occupation of 'Storeperson'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Order Picker/Assembler' profile should be combined with the broader 'Storeperson' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,741111,S02,Stores Despatch Hand,"Despatches goods from stockroom, warehouse, or storage yard. The specialisation of 'Stores Despatch Hand' is a subset of the broader occupation of 'Storeperson'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Stores Despatch Hand' profile should be combined with the broader 'Storeperson' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,741111,S03,Chiller Hand,"Receives, handles and despatches goods in a cool room or freezer. The specialisation of 'Chiller Hand' is a subset of the broader occupation of 'Storeperson'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Chiller Hand' profile should be combined with the broader 'Storeperson' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,811211,S01,Aircraft Cabin Cleaner,Cleans aircraft cabins using heavy duty cleaning equipment. The specialisation of 'Aircraft Cabin Cleaner' is a subset of the broader occupation of 'Commercial Cleaner'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Aircraft Cabin Cleaner' profile should be combined with the broader 'Commercial Cleaner' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
Specialisation,821111,S01,Bricklayer's Assistant,"Perform routine tasks in laying bricks, pre-cut stone and other types of building blocks in mortar to construct and repair walls, partitions, arches and other structures. The specialisation of 'Bricklayer's Assistant' is a subset of the broader occupation of 'Builder's Labourer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Bricklayer's Assistant' profile should be combined with the broader 'Builder's Labourer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
Specialisation,821111,S02,Carpenter's Assistant,"Perform routine tasks in constructing, erecting, installing, renovating and repairing structures and fixtures of wood, plywood, wallboard and other materials.  The specialisation of 'Carpenter's Assistant' is a subset of the broader occupation of 'Builder's Labourer'. They perform some or all of the broader occupation’s tasks as well as additional tasks. This 'Carpenter's Assistant' profile should be combined with the broader 'Builder's Labourer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
