Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 4,4517,,Travel Attendants,"Travel Attendants provide services for the safety and comfort of passengers in aircraft, ships and railway sleeping cars."
ANZSCO 4,4521,,Fitness Instructors,"Fitness Instructors direct, instruct and guide individuals and groups in the pursuit of physical fitness and wellbeing."
ANZSCO 4,4522,,Outdoor Adventure Guides,"Outdoor Adventure Guides direct, instruct and guide individuals and groups in outdoor adventure activities such as bungy jumping, fishing and hunting, mountaineering, trekking and whitewater rafting."
ANZSCO 4,4523,,"Sports Coaches, Instructors and Officials","Sports Coaches, Instructors and Officials coach, train and instruct participants in sports, and officiate at sporting events."
ANZSCO 4,4524,,Sportspersons,Sportspersons participate in sporting events for monetary gain either as individuals or as members of a team.
ANZSCO 4,5121,,Office Managers,Office Managers organise and control the functions and resources of offices such as administrative systems and office personnel.
ANZSCO 4,5211,,Personal Assistants,"Personal Assistants perform liaison, coordination and organisational tasks in support of Managers and Professionals."
ANZSCO 4,5311,,General Clerks,General Clerks perform a range of clerical and administrative tasks.
ANZSCO 4,5412,,Information Officers,"Information Officers respond to personal, written and telephone inquiries and complaints about the organisation's goods and services, provide information and refer people to other sources."
ANZSCO 4,5512,,Bookkeepers,Bookkeepers maintain and evaluate records of financial transactions in account books and computerised accounting systems.
ANZSCO 4,5513,,Payroll Clerks,Payroll Clerks prepare payrolls and related records for employee salaries and statutory record-keeping purposes.
ANZSCO 4,5521,,Bank Workers,"Bank Workers receive deposits and pay out money in financial and commercial institutions, keep records of transactions, issue receipts and cash cheques."
ANZSCO 4,5522,,Credit and Loans Officers,"Credit and Loans Officers analyse, evaluate and process credit and loan applications."
ANZSCO 4,5611,,Betting Clerks,"Betting Clerks take bets from customers at betting agencies, over the telephone and on course."
ANZSCO 4,5613,,Filing and Registry Clerks,Filing and Registry Clerks process and handle information and documents to maintain access to and security of database and record management systems.
ANZSCO 4,5614,,Mail Sorters,"Mail Sorters receive, sort and despatch mail in organisations and postal sorting centres."
ANZSCO 4,5615,,Survey Interviewers,Survey Interviewers interview people and record their responses to survey and market research questions on a range of topics.
ANZSCO 4,5616,,Switchboard Operators,"Switchboard Operators operate telecommunication switchboards and consoles to assist callers establish telephone connections, and receive caller inquiries and fault reports."
ANZSCO 4,5912,,Transport and Despatch Clerks,"Transport and Despatch Clerks verify and maintain records of incoming and outgoing goods, prepare goods for despatch, arrange clearance and collection of imported cargo from customs and bond stores, and arrange shipment of cargo for export."
ANZSCO 4,5991,,Conveyancers and Legal Executives,"Conveyancers and Legal Executives act for and on behalf of clients in the areas of property transfer, company and business law, trusts, wills, probate and litigation."
ANZSCO 4,5992,,Court and Legal Clerks,"Court and Legal Clerks provide administrative and operational support to Legal Professionals by performing clerical work associated with the functions of courts, legal practices and the administration of trusts and estates."
ANZSCO 4,5993,,Debt Collectors,"Debt Collectors collect consumer, commercial, insurance and other forms of debt for clients, make arrangements to settle overdue accounts, formalise payment arrangements and follow up until accounts are fully paid."
ANZSCO 4,5994,,Human Resource Clerks,"Human Resource Clerks maintain and update personnel records such as information on transfers and promotions, employee leave taken and accumulated, salaries, superannuation and taxation, qualifications and training."
ANZSCO 4,5995,,Inspectors and Regulatory Officers,Inspectors and Regulatory Officers administer and enforce government and corporate regulations and standards.
ANZSCO 4,5996,,"Insurance Investigators, Loss Adjusters and Risk Surveyors","Insurance Investigators, Loss Adjusters and Risk Surveyors conduct investigations into insurance claims to ensure their validity, inspect and assess the damage and loss to insured properties and businesses, estimate insurance costs, and inspect insured properties to evaluate conditions affecting underwriting standards."
ANZSCO 4,5997,,Library Assistants,"Library Assistants issue, receive and shelve library items and maintain associated records."
ANZSCO 4,6111,,"Auctioneers, and Stock and Station Agents","Auctioneers, and Stock and Station Agents sell property at auction, and advise and represent farmers in business transactions such as buying and selling livestock, rural property, and goods and services."
ANZSCO 4,6112,,Insurance Agents,Insurance Agents represent insurance companies in selling insurance to clients.
ANZSCO 4,6113,,Sales Representatives,Sales Representatives represent companies to sell their goods and business services to wholesale and retail establishments.
ANZSCO 4,6211,,Sales Assistants (General),"Sales Assistants (General) sell goods and services, such as food, clothing, hardware, household appliances, office supplies and cosmetics, in retail and wholesale establishments."
ANZSCO 4,6214,,Pharmacy Sales Assistants,"Pharmacy Sales Assistants sell pharmaceutical goods, toiletries and related goods in retail pharmacies."
ANZSCO 4,6215,,Retail Supervisors,Retail Supervisors supervise and coordinate the activities of retail sales workers.
ANZSCO 4,6216,,Service Station Attendants,"Service Station Attendants sell fuel, lubricants and other automotive accessories, and perform minor maintenance on motor vehicles at service stations."
ANZSCO 4,6217,,Street Vendors and Related Salespersons,"Street Vendors and Related Salespersons sell goods and services on established routes, door-to-door, and at street and market locations."
ANZSCO 4,6311,,Checkout Operators and Office Cashiers,"Checkout Operators and Office Cashiers operate cash registers and receive payments from customers, and issue receipts and return change due."
ANZSCO 4,6393,,Telemarketers,"Telemarketers telephone existing and prospective customers to promote goods and services, and obtain sales and arrange sales visits."
ANZSCO 4,6394,,Ticket Salespersons,"Ticket Salespersons sell tickets and make reservations for services such as travel and admission to sporting and entertainment venues, and collect fares on transport vehicles."
ANZSCO 4,6395,,Visual Merchandisers,"Visual Merchandisers plan and install internal, window and fixed displays to show goods to their best advantage."
ANZSCO 4,7111,,"Clay, Concrete, Glass and Stone Processing Machine Operators","Clay, Concrete, Glass and Stone Processing Machine Operators operate machines to manufacture and finish a variety of clay, concrete, glassware and stone products by extruding, shaping, mixing, grinding, cutting and other processes."
